요구사항ID,요구사항명,요구사항 정의,릴리스,우선순위,복잡도,세부내용·처리규칙,관련요구사항,산출물,근거·외부의존성,검증기준(인수조건),언제 실행되나 (시점·주기),어떻게 만드나 (구현 힌트),최종 변경·비고
FGC-FUN-001,사용자 로그인·로그아웃,"등록된 사용자가 아이디·비밀번호로 로그인하고, 안전하게 로그아웃할 수 있어야 한다.",1차,M,중,로그인 실패 시 이유를 안내한다. 로그아웃하면 세션(서버가 기억하는 접속 상태)을 즉시 지운다.,,화면정의서/API명세서/프로그램설계서,"SRC-004,SRC-005",정상 계정은 로그인되고 잘못된 계정은 거절되며 로그아웃 후 보호 URL 접근이 차단된다.,사용자가 로그인 화면에서 버튼을 누를 때(실시간).,Spring Security 폼 로그인 사용. 비밀번호는 BCrypt(원문을 되돌릴 수 없게 바꾸는 암호화)로 저장. Thymeleaf 화면 1장.,
FGC-FUN-002,역할 기반 접근제어,사용자 역할에 따라 볼 수 있는 메뉴·화면·API(서버 기능을 부르는 주소)와 할 수 있는 일을 제한해야 한다.,1차,M,상,"기본 역할 4종 ? 시스템관리자, GA관리자, 정산담당자, 준법/감사(조회 전용).",FGC-FUN-001,권한매트릭스/API명세서/보안설계서,SRC-006,권한 없는 메뉴가 숨겨지고 직접 URL/API 호출도 403으로 차단된다.,모든 화면·API 요청마다 자동 검사(실시간).,"Spring Security의 URL 접근 규칙으로 서버에서 차단하고, 화면은 sec:authorize로 메뉴를 숨긴다. 역할·권한은 DB 테이블로 관리.",
FGC-FUN-003,사용자 계정 관리,관리자가 사용자 계정을 조회·등록·수정·잠금·해제할 수 있어야 한다.,2차,S,중,"계정 상태, 소속 GA·조직, 역할, 최근 로그인 일시를 관리한다.",FGC-FUN-002,화면정의서/API명세서,SRC-006,관리자가 계정을 생성하고 역할을 부여할 수 있으며 잠금 계정은 로그인할 수 없다.,관리자가 계정 화면에서 조작할 때(실시간).,2차 React 관리 화면 + JPA CRUD(등록·조회·수정·삭제). 잠긴 계정은 로그인 단계에서 거절.,
FGC-FUN-004,세션 만료 및 재인증,"오래 사용하지 않으면 자동으로 로그아웃되고, 중요한 작업 전에는 한 번 더 확인을 받아야 한다.",2차,S,중,만료 시간은 설정값으로 관리한다. 정책 확정·정산 마감 같은 중요 작업은 확인 절차를 거친다.,FGC-FUN-001,보안설계서/테스트결과서,SRC-006,설정된 미사용 시간이 지나면 세션이 만료되고 중요 작업은 확인 없이 완료되지 않는다.,세션 만료는 서버가 자동 처리. 재확인은 중요 버튼 클릭 시(실시간).,세션 만료 시간 설정 + 중요 작업 API에 확인 절차(재입력·확인창)를 요구.,
FGC-FUN-005,GA·조직 기준정보 조회·선택,1차에서는 DB에 미리 적재된 GA(독립보험대리점)·본사·지사·지점 정보를 조회하고 다른 입력 화면에서 선택할 수 있어야 한다.,1차,S,중,"조직코드, 이름, 상위조직, 적용기간, 사용 여부를 조회한다. 등록·수정·삭제 화면은 2차에서 구현한다.",,ERD/화면정의서/API명세서,"SRC-004,SRC-005","시드로 적재된 조직정보가 계약·설계사·지급 건 화면에서 정확히 조회·선택되고, 1차 화면에는 조직 등록·수정 기능이 노출되지 않는다.",계약·설계사·지급 건 화면을 열 때 조회(실시간).,1차: Flyway/SQL 시드 + 조회 API + 선택목록. 2차: JPA/React 등록·조회·수정·삭제(CRUD)로 확장.,v2.1: 1차 기준정보 CRUD 제거
FGC-FUN-006,보험회사 기준정보 조회·선택,1차에서는 DB에 미리 적재된 원수사(보험상품을 만든 보험회사) 정보를 조회하고 선택할 수 있어야 한다.,1차,S,하,"보험회사 코드, 이름, 생명보험/손해보험 구분, 사용 여부를 조회한다. 등록·수정·삭제는 2차 범위다.",,ERD/화면정의서/API명세서,SRC-005,시드 보험회사 목록이 계약·상품 화면의 선택값과 일치하고 사용중지 회사는 신규 입력에서 선택되지 않는다.,계약·상품 화면을 열 때 조회(실시간).,1차: 조회 전용 MyBatis 쿼리와 선택목록. 2차: JPA/React CRUD로 확장.,v2.1: 1차 기준정보 CRUD 제거
FGC-FUN-007,보험상품 기준정보 조회·선택,1차에서는 DB에 미리 적재된 보험회사별 상품정보를 조회하고 계약 등록 시 선택할 수 있어야 한다.,1차,S,중,"보험사 상품코드, 내부 표준상품코드, 상품명, 상품군, 판매기간과 함께 상품 판매개시일, 기초서류 버전·작성/변경일, 판매채널, TM·방송채널 특례 여부, 적용 수수료체계 코드를 조회한다. 1차는 조회·선택만 하고 상품코드 매핑·버전 등록 화면은 2차 범위다.",FGC-FUN-006,ERD/데이터사전/화면정의서,"SRC-004,SRC-009,SRC-014,REG-19","계약일이 상품 판매기간 안에 있을 때만 선택할 수 있고, 상품 판매개시일·기초서류 버전·채널·적용 수수료체계가 계약에 연결된다. 같은 계약일이라도 상품버전·채널이 다르면 다른 적용체계를 선택할 수 있다.",계약 등록·조회 화면을 열 때 조회(실시간).,1차: 조회 전용 MyBatis 쿼리와 선택목록. 2차: 상품버전·매핑 CRUD로 확장.,v2.2.1: REG-19 적용체계 판정 필드 추가
FGC-FUN-008,보험설계사 기준정보 조회·선택,1차에서는 DB에 미리 적재된 설계사(FC: 보험을 모집하는 사람)와 소속·상태를 조회하고 선택할 수 있어야 한다.,1차,S,중,"설계사코드, 이름, 소속조직, 위촉일(일을 맡긴 날), 해촉일(위촉계약이 끝난 날), 상태와 함께 최근 등록일, 최근 등록일 직전 3년 모집경력 여부, 경력조회 기준일, 신인활동지원 대상 여부·종료일을 조회한다. 인사·경력이력 등록·수정은 2차 범위다.",FGC-FUN-005,ERD/화면정의서/API명세서,"SRC-004,SRC-005,SRC-014,REG-21","계약·지급 건 등록 시 유효한 설계사만 선택되고, 신인활동지원 대상 판정에 최근 등록일과 직전 3년 모집경력 정보가 사용된다.",계약·지급 건 화면을 열 때 조회(실시간).,1차: 조회 전용 MyBatis 쿼리와 선택목록. 2차: 인사·위촉·해촉 이력 CRUD로 확장.,v2.2.1: REG-21 신인 판정 필드 추가
FGC-FUN-009,수수료 항목 기준정보 조회·선택,1차에서는 DB에 미리 적재된 돈의 종류(모집수수료·시책·정착지원금 등)를 조회하고 지급 건 등록 시 선택할 수 있어야 한다.,1차,S,중,"항목코드, 이름, 지급/차감 구분, 사용기간을 조회한다. 1,200% 산입 여부는 항목 자체의 고정값이 아니라 룰셋별 분류정책(FUN-013)에서 결정한다.",,용어사전/코드정의서/ERD,"SRC-001,SRC-002,SRC-004","모든 지급 건에 유효한 항목코드가 기록되고, 같은 항목도 룰셋 버전에 따라 산입·제외·판단대기로 분류할 수 있다.",지급 건 화면을 열거나 검증할 때 조회(실시간).,1차: 항목 시드 + 조회 API. 2차: 항목 CRUD. 산입판정은 cap_rule_item 매핑에서 관리해 item 마스터에 하드코딩하지 않는다.,v2.1: 1차 항목 CRUD 제거·산입판정 책임 분리
FGC-FUN-010,계약 담당 설계사 이력 관리,"계약을 모집한 설계사와, 나중에 관리 담당이 된 설계사의 변경 이력을 관리해야 한다.",2차,S,상,"변경 전·후 설계사, 변경일, 사유, 유지관리수수료(계약이 살아있는 동안 다달이 주는 수수료)를 누가 받는지 기준을 기록한다.",FGC-FUN-008,ERD/업무규칙서/화면정의서,"SRC-001,SRC-005,REG-07",담당자 변경 전후의 지급 귀속이 정책에 따라 구분되고 과거 지급이력은 변경되지 않는다.,담당 변경 이벤트가 생길 때(실시간).,"2차 JPA 이력 테이블. 과거 지급이력은 절대 바꾸지 않고, 변경일 이후 회차만 새 담당자에게 귀속시킨다.",
